date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,m8_last3,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,Boston Celtics @ Milwaukee Bucks,Ryan Rollins,C1,2.5,0.75,-1.75,70,UNDER,STRONG UNDER,10.2,HIGH,NORMAL,NA,100,0.346,0.18,210,-112,-112,0.379,0.621,1,0.5,0.75,0.75,1.26,0.74,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Gui Santos,C1,1.5,0.48,-1.02,68,UNDER,UNDER,7.5,HIGH,NORMAL,NA,100,0.126,0.05,-114,-110,-110,0.504,0.496,1,0.5,0.56,0.56,0.39,0.36,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Baylor Scheierman,C1,1.5,0.75,-0.75,50,UNDER,UNDER,6.5,HIGH,NORMAL,NA,100,0.382,0.27,-122,104,104,0.529,0.471,0.975,0.4755,0.8,0.8,1.01,0.66,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Jaylen Brown,C4,1.5,2.18,0.68,45.3,OVER,OVER,6.4,HIGH,NORMAL,NA,100,0.305,0.13,170,150,170,0.481,0.519,0.987,0.4897,1.98,1.98,2,2.49,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Cam Thomas,C4,1.5,2.36,0.86,57.3,OVER,OVER,7.2,HIGH,NORMAL,NA,97,0.265,0.03,162,-199,162,0.364,0.636,0.998,0.4984,2.32,2.32,2.34,2.42,4
2026-03-02,Houston Rockets @ Washington Wizards,Bilal Coulibaly,C2,0.5,1.12,0.62,124,OVER,OVER,6.2,HIGH,NORMAL,NA,91,0.161,0,-150,120,-150,0.569,0.431,0.981,0.4762,1.05,1.05,1.05,1.23,2
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Darius Garland,C4,1.5,2.62,1.12,74.7,OVER,OVER,8.2,HIGH,NORMAL,NA,90,0.234,0.37,109,-130,109,0.458,0.542,1,0.5,2.62,2.62,2.59,2.62,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Moses Moody,C2,2.5,1.44,-1.06,42.4,UNDER,UNDER,7.7,HIGH,NORMAL,NA,90,0.16,0.33,170,124,124,0.453,0.547,1,0.5,1.42,1.42,1.44,1.46,5
2026-03-02,Houston Rockets @ Washington Wizards,Tari Eason,C3,1.5,0.89,-0.61,40.7,UNDER,UNDER,6,HIGH,NORMAL,NA,90,0.152,0.52,170,137,137,0.467,0.533,0.979,0.4818,1.04,1.04,0.94,0.68,5
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,De'Aaron Fox,C4,1.5,2.33,0.83,55.3,OVER,OVER,7.1,HIGH,NORMAL,NA,81,0.364,0.41,108,-141,108,0.451,0.549,0.989,0.4894,2.44,2.44,1.79,2.16,2
