date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books,target,actual,result,profit_units
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),LaMelo Ball,C1,3.5,0.1,-3.4,97.1,UNDER,UNDER,14.2,0.8,LOW,NORMAL,,46,1.216,0.55,-103,-120,-120,-120.5,1.5,0.482,0.518,0.997,0.4967,0,0,0,0.26,2,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Donte DiVincenzo,C1,2.5,0.13,-2.37,94.8,UNDER,UNDER,11.9,0.8,LOW,NORMAL,,46,1.158,0.42,-130,102,102,-120.5,1.5,0.533,0.467,0.98,0.4802,0,0,0,0.32,2,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Victor Wembanyama,C1,2.5,0.13,-2.37,94.8,UNDER,UNDER,11.9,0.8,LOW,NORMAL,,45,1.124,0.73,130,-135,-135,118,-138,0.431,0.569,0.983,0.48,0,0,0,0.32,6,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Brandon Miller,C1,3.5,0.1,-3.4,97.1,UNDER,UNDER,14.2,0.8,LOW,NORMAL,,43,1.161,0.54,134,-180,-180,-120.5,1.5,0.399,0.601,0.998,0.4972,0,0,0,0.26,1,fg3m,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Jayson Tatum,C1,3.5,0.11,-3.39,96.9,UNDER,UNDER,14.2,0.8,LOW,NORMAL,,43,1.646,0.3,138,-186,-186,-407.5,320,0.392,0.608,0.98,0.4714,0,0,0,0.27,1,fg3m,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Derrick White,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,LOW,NORMAL,,43,1.136,0.33,-144,108,108,-407.5,320,0.551,0.449,0.982,0.4827,0,0,0,0.27,1,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Anthony Edwards,C1,2.5,0.13,-2.37,94.8,UNDER,UNDER,11.9,0.8,LOW,NORMAL,,43,1.715,0.6,-166,124,124,-120.5,1.5,0.583,0.417,0.917,0.425,0,0,0,0.32,1,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Dylan Harper,C1,2.5,3.65,1.15,46,OVER,OVER,8.1,0.8,HIGH,NORMAL,4|4|5|1|6|2|2,90,0.228,0.31,155,116,155,118,-138,0.459,0.541,1,0.5,3.64,3.64,3.69,3.17,6,reb,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Kevin Huerter,C1,2.5,3.25,0.75,30,OVER,OVER,6.6,0.8,HIGH,NORMAL,1|2|3|2|6|2|4,88,0.374,0.24,-130,100,-130,118,-144,0.531,0.469,0.978,0.4747,3.28,3.28,3.07,2.81,1,reb,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Davion Mitchell,C1,3.5,2.84,-0.66,18.9,UNDER,UNDER,6.3,0.8,HIGH,NORMAL,1|2|2|4|3|4|2,84,0.303,0.2,124,-155,-155,-2400,1100,0.423,0.577,0.985,0.4809,2.84,2.84,2.87,3.09,2,reb,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Derrick White,C1,3.5,4.26,0.76,21.7,OVER,OVER,6,0.6,HIGH,NORMAL,5|6|2|4|5|5|3,76,0.386,0.33,-136,102,-136,-407.5,320,0.538,0.462,0.976,0.4717,4.24,4.24,4.36,3.37,1,reb,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),LaMelo Ball,C1,5.5,4.37,-1.13,20.5,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,6|5|3|4|7|2|6,74,0.556,0.55,128,-172,-172,-120.5,1.5,0.41,0.59,0.979,0.4714,4.4,4.4,4.21,3.26,1,reb,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Naz Reid,C1,5.5,6.08,0.58,10.5,OVER,OVER,6,0.6,HIGH,NORMAL,3|7|13|4|5|6|7,72,0.677,0.2,-110,-110,-110,-120.5,1.5,0.5,0.5,0.804,0.2942,6.08,6.08,6.06,4.15,2,reb,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Kon Knueppel,C1,4.5,5.3,0.8,17.8,OVER,OVER,6.1,0.6,HIGH,NORMAL,4|11|11|4|7|3|4,70,0.671,0.32,-152,116,-152,-120.5,1.5,0.566,0.434,0.883,0.3526,5.2,5.2,5.88,4.3,1,reb,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Luke Kornet,C1,4.5,5.21,0.71,15.8,OVER,OVER,6.1,0.6,HIGH,NORMAL,10|4|8|8|1|5|6,67,0.692,0.3,-115,-112,-115,118,-138,0.503,0.497,0.848,0.3366,5.24,5.24,5.06,3.74,1,reb,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Alex Sarr,C1,5.5,6.59,1.09,19.8,OVER,OVER,8.3,0.6,MED,NORMAL,4|6|4|5|3|5|9,65,1.195,0.35,210,112,210,-2400,1100,0.406,0.594,0.819,0.3664,6.76,6.76,5.62,3.44,5,reb,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Nikola Jokic,C1,13.5,10.5,-3,22.2,UNDER,UNDER,12.5,0.4,LOW,NORMAL,8|14|17|21|15|15|17,63,4.155,0.29,200,-110,-110,118,-138,0.389,0.611,0.765,0.2533,4.45,13.52,14.53,7.52,6,reb,NA,NA,NA
